thesis_label,run_id,run_name,state,step,NDS,mAP,mATE,mASE,mAOE,mAVE,mAAE,car_AP_dist_0.5,car_AP_dist_1.0,car_AP_dist_2.0,car_AP_dist_4.0,car_trans_err,car_scale_err,car_orient_err,car_vel_err,car_attr_err,truck_AP_dist_0.5,truck_AP_dist_1.0,truck_AP_dist_2.0,truck_AP_dist_4.0,truck_trans_err,truck_scale_err,truck_orient_err,truck_vel_err,truck_attr_err,bus_AP_dist_0.5,bus_AP_dist_1.0,bus_AP_dist_2.0,bus_AP_dist_4.0,bus_trans_err,bus_scale_err,bus_orient_err,bus_vel_err,bus_attr_err,trailer_AP_dist_0.5,trailer_AP_dist_1.0,trailer_AP_dist_2.0,trailer_AP_dist_4.0,trailer_trans_err,trailer_scale_err,trailer_orient_err,trailer_vel_err,trailer_attr_err,construction_vehicle_AP_dist_0.5,construction_vehicle_AP_dist_1.0,construction_vehicle_AP_dist_2.0,construction_vehicle_AP_dist_4.0,construction_vehicle_trans_err,construction_vehicle_scale_err,construction_vehicle_orient_err,construction_vehicle_vel_err,construction_vehicle_attr_err,pedestrian_AP_dist_0.5,pedestrian_AP_dist_1.0,pedestrian_AP_dist_2.0,pedestrian_AP_dist_4.0,pedestrian_trans_err,pedestrian_scale_err,pedestrian_orient_err,pedestrian_vel_err,pedestrian_attr_err,motorcycle_AP_dist_0.5,motorcycle_AP_dist_1.0,motorcycle_AP_dist_2.0,motorcycle_AP_dist_4.0,motorcycle_trans_err,motorcycle_scale_err,motorcycle_orient_err,motorcycle_vel_err,motorcycle_attr_err,bicycle_AP_dist_0.5,bicycle_AP_dist_1.0,bicycle_AP_dist_2.0,bicycle_AP_dist_4.0,bicycle_trans_err,bicycle_scale_err,bicycle_orient_err,bicycle_vel_err,bicycle_attr_err,traffic_cone_AP_dist_0.5,traffic_cone_AP_dist_1.0,traffic_cone_AP_dist_2.0,traffic_cone_AP_dist_4.0,traffic_cone_trans_err,traffic_cone_scale_err,traffic_cone_orient_err,traffic_cone_vel_err,traffic_cone_attr_err,barrier_AP_dist_0.5,barrier_AP_dist_1.0,barrier_AP_dist_2.0,barrier_AP_dist_4.0,barrier_trans_err,barrier_scale_err,barrier_orient_err,barrier_vel_err,barrier_attr_err
Teacher (T),h0syp4kg,base_lidar_cam,finished,6179,0.707866,0.673720,0.286000,0.254600,0.307900,0.253100,0.188300,0.805700,0.896400,0.926000,0.936300,0.168000,0.150200,0.078800,0.268700,0.188000,0.447000,0.629800,0.718000,0.752100,0.321300,0.181000,0.100200,0.245200,0.229000,0.515200,0.768600,0.868700,0.893200,0.306500,0.180200,0.045100,0.427000,0.272100,0.128700,0.367200,0.609100,0.687200,0.557000,0.204000,0.466700,0.158500,0.159700,0.038500,0.194200,0.387400,0.504700,0.730100,0.443400,0.894100,0.132400,0.271400,0.861900,0.873700,0.883000,0.893000,0.128800,0.284700,0.397400,0.220800,0.104100,0.651100,0.771800,0.789900,0.804700,0.189800,0.240200,0.268400,0.378500,0.269900,0.579300,0.604100,0.609000,0.617700,0.151700,0.253100,0.454300,0.193600,0.012300,0.755300,0.765800,0.783800,0.809100,0.125500,0.324100,NaN,NaN,NaN,0.617700,0.705600,0.742600,0.755700,0.181600,0.285500,0.065900,NaN,NaN
Student S — S0,x61g7sqb,bevfusion_combined_baseline_student_XXS_adjust_param,finished,4325,0.661337,0.603409,0.301400,0.257300,0.342200,0.311900,0.190900,0.777000,0.874800,0.900000,0.910900,0.176600,0.154200,0.077000,0.337400,0.193000,0.381300,0.558600,0.628200,0.672000,0.314600,0.183000,0.111100,0.289400,0.220200,0.466400,0.679100,0.800900,0.839300,0.336500,0.184600,0.086100,0.555500,0.244200,0.110300,0.322100,0.490900,0.565100,0.534500,0.203500,0.541200,0.178900,0.175800,0.008100,0.105000,0.299800,0.391300,0.833900,0.474300,0.967000,0.122200,0.304400,0.831500,0.845500,0.856100,0.868900,0.136200,0.283900,0.383900,0.251500,0.100000,0.536200,0.617900,0.627900,0.636700,0.192200,0.239000,0.283100,0.576600,0.275100,0.434300,0.447100,0.449800,0.455400,0.160700,0.246400,0.572500,0.183800,0.014200,0.698500,0.712700,0.732100,0.760000,0.131300,0.323700,NaN,NaN,NaN,0.607800,0.713500,0.753400,0.769600,0.197400,0.280500,0.058000,NaN,NaN
Student S — S1,ynh2rrwe,bevfusion_student_xxs_kd_feature,finished,926,0.694767,0.663688,0.293000,0.254600,0.326700,0.305100,0.191300,0.793900,0.889800,0.918400,0.929100,0.173100,0.153600,0.080300,0.339100,0.191100,0.405100,0.598500,0.673400,0.715800,0.315600,0.183100,0.099900,0.279100,0.221900,0.489500,0.698700,0.846500,0.880400,0.331900,0.184500,0.075700,0.518200,0.244500,0.134000,0.399500,0.592200,0.675400,0.534900,0.208400,0.505400,0.180400,0.171900,0.034600,0.180000,0.404800,0.515500,0.768200,0.452600,0.953300,0.121200,0.317100,0.854000,0.867000,0.878000,0.887000,0.134000,0.283600,0.381700,0.243500,0.102700,0.637400,0.760400,0.777800,0.789100,0.196300,0.237500,0.280100,0.563700,0.271100,0.549100,0.573000,0.578900,0.590100,0.152800,0.250200,0.507100,0.195800,0.010100,0.741700,0.753400,0.774800,0.798500,0.130100,0.322200,NaN,NaN,NaN,0.641000,0.739800,0.783800,0.797400,0.193000,0.270700,0.056900,NaN,NaN
Student S — S2,bpbdh38x,bevfusion_student_xxs_kd_feature_bev,finished,1235,0.695005,0.665061,0.289400,0.253700,0.339200,0.305200,0.187900,0.794000,0.888400,0.917000,0.927600,0.173300,0.153300,0.072900,0.327400,0.190100,0.401400,0.585800,0.661800,0.705000,0.311600,0.181700,0.097500,0.269400,0.219300,0.478700,0.706400,0.849200,0.874000,0.333300,0.183400,0.077300,0.520500,0.230400,0.133700,0.411000,0.603300,0.685900,0.536800,0.210300,0.552500,0.173000,0.165000,0.039700,0.200200,0.404200,0.530800,0.728600,0.441000,0.958300,0.126900,0.314200,0.851400,0.864300,0.874300,0.884200,0.133300,0.284300,0.382900,0.244000,0.105000,0.643200,0.759100,0.778000,0.787300,0.194100,0.235000,0.281900,0.588800,0.268900,0.557100,0.587000,0.592600,0.604900,0.155600,0.249800,0.572200,0.191100,0.010200,0.735800,0.748800,0.769100,0.793500,0.132700,0.323700,NaN,NaN,NaN,0.643400,0.744900,0.785300,0.800000,0.194300,0.274400,0.057200,NaN,NaN
Student S — S3,lv3ftiq8,bevfusion_student_xxs_kd_feature_bev_head,finished,1544,0.698318,0.671609,0.285100,0.253700,0.339000,0.305400,0.191600,0.802000,0.892200,0.920300,0.930900,0.171000,0.152200,0.074200,0.326500,0.190800,0.428400,0.615900,0.689100,0.736700,0.305800,0.182200,0.090800,0.276600,0.218100,0.498400,0.715600,0.853200,0.880900,0.332600,0.182000,0.084400,0.541900,0.247200,0.150200,0.418000,0.611500,0.694000,0.521000,0.205600,0.500200,0.179100,0.159300,0.042900,0.208200,0.397700,0.537700,0.727100,0.441300,0.994400,0.129800,0.322400,0.850000,0.863800,0.874600,0.885200,0.135400,0.283200,0.403900,0.245200,0.109300,0.646500,0.769000,0.784800,0.792700,0.190100,0.239900,0.258300,0.541500,0.275900,0.565800,0.597000,0.603100,0.615100,0.154900,0.246800,0.586000,0.203000,0.009600,0.736600,0.750300,0.768900,0.792900,0.126500,0.324800,NaN,NaN,NaN,0.638900,0.736300,0.779800,0.788900,0.186300,0.279700,0.058900,NaN,NaN
Student S — S4,5zkf0n7i,bevfusion_student_xxs_kd_feature_bev_head_dwa_V2,finished,1544,0.695967,0.670227,0.284600,0.253900,0.346000,0.317100,0.189800,0.796900,0.891100,0.916100,0.926600,0.170200,0.152700,0.075800,0.331400,0.190600,0.433900,0.618300,0.693100,0.738100,0.304100,0.180500,0.095000,0.281400,0.217600,0.491600,0.703000,0.847400,0.875400,0.331800,0.182900,0.074300,0.569400,0.223100,0.146900,0.426700,0.624900,0.713700,0.519200,0.204700,0.529900,0.176300,0.176200,0.046700,0.211700,0.397600,0.535400,0.721300,0.434400,1.011800,0.124000,0.324500,0.846000,0.860600,0.871700,0.883100,0.136100,0.285400,0.417800,0.248900,0.109400,0.650300,0.770100,0.785700,0.794400,0.190600,0.244000,0.274300,0.593300,0.266700,0.565700,0.595000,0.601400,0.613700,0.154900,0.248300,0.576400,0.212200,0.010200,0.726800,0.741000,0.760800,0.786500,0.132500,0.326400,NaN,NaN,NaN,0.635600,0.731300,0.770000,0.784300,0.185700,0.280000,0.058600,NaN,NaN
Student XS — S0,tia4on9x,bevfusion_student_combined_v2_continue,finished,1544,0.524875,0.467255,0.371800,0.277100,0.573800,0.650900,0.213900,0.694000,0.826300,0.868700,0.882400,0.209000,0.162600,0.133400,0.553400,0.220800,0.054500,0.155000,0.210700,0.254700,0.458800,0.220700,0.153300,0.460800,0.274900,0.213900,0.474500,0.632900,0.679100,0.490300,0.213300,0.350200,1.361300,0.311600,0.029700,0.182500,0.337000,0.419700,0.682700,0.225300,0.686300,0.362700,0.155500,0.003800,0.099000,0.221300,0.277100,0.759200,0.470300,1.192800,0.140400,0.344900,0.731600,0.761700,0.784200,0.806100,0.177700,0.285300,0.650300,0.492700,0.181400,0.371900,0.498100,0.511500,0.523800,0.255900,0.276300,0.818300,1.337800,0.191700,0.220500,0.240800,0.244800,0.251800,0.204800,0.254800,1.061700,0.498500,0.030600,0.626400,0.650500,0.684600,0.726600,0.178200,0.371500,NaN,NaN,NaN,0.442900,0.647700,0.713500,0.734700,0.301000,0.290400,0.118300,NaN,NaN
Student XS — S1,2f6bs75l,student_v2_kd_xxs_feature_lidar_cam,finished,1544,0.540457,0.490048,0.371600,0.277400,0.584000,0.602400,0.210200,0.701500,0.827700,0.869300,0.883100,0.206300,0.161200,0.141200,0.522000,0.223600,0.074000,0.189100,0.248700,0.291000,0.441000,0.223700,0.144700,0.443900,0.263900,0.189700,0.469000,0.640500,0.687600,0.502900,0.211700,0.297500,1.299800,0.307000,0.029100,0.173900,0.326400,0.408100,0.686700,0.229900,0.636600,0.350100,0.139900,0.004900,0.132000,0.260800,0.312600,0.766200,0.479000,1.166100,0.137600,0.364900,0.738700,0.767900,0.791000,0.813700,0.173200,0.285300,0.603800,0.460000,0.172000,0.411100,0.544200,0.566300,0.573600,0.258500,0.275800,0.843300,1.205500,0.171000,0.303200,0.338800,0.348100,0.367500,0.213000,0.255100,1.307700,0.400300,0.039200,0.634500,0.661800,0.693400,0.733200,0.179300,0.367700,NaN,NaN,NaN,0.467200,0.660100,0.724000,0.744300,0.289300,0.284700,0.115200,NaN,NaN
Student XS — S2,8utrbfn6,student_v2_kd_xxs_feature_lidar_cam_bev,finished,1853,0.541644,0.487027,0.371200,0.278300,0.564600,0.597500,0.207000,0.701800,0.827700,0.868600,0.882200,0.206500,0.161800,0.142700,0.522300,0.222600,0.064000,0.167400,0.225000,0.266000,0.440900,0.222800,0.123000,0.458900,0.265300,0.201300,0.473200,0.639300,0.687500,0.495000,0.212900,0.298000,1.234400,0.311800,0.026900,0.173200,0.325100,0.399300,0.686300,0.228300,0.599100,0.381100,0.152400,0.005900,0.122300,0.271700,0.330500,0.780300,0.479200,1.181400,0.133500,0.358200,0.741100,0.768600,0.789700,0.811600,0.171500,0.285000,0.601000,0.463700,0.167100,0.406100,0.538000,0.557300,0.564000,0.260300,0.273900,0.780300,1.185500,0.152000,0.305600,0.337400,0.345200,0.360000,0.208000,0.259300,1.239500,0.400800,0.026700,0.638100,0.664000,0.693300,0.732600,0.172100,0.371200,NaN,NaN,NaN,0.457200,0.655200,0.718100,0.739100,0.290900,0.288900,0.116500,NaN,NaN
Student XS — S3,xprs9b5n,student_v2_kd_xxs_feature_lidar_cam_bev_head_rel,finished,1235,0.534113,0.493475,0.363000,0.280700,0.585600,0.681500,0.215400,0.704600,0.829900,0.870800,0.884600,0.204100,0.164200,0.155200,0.559900,0.224100,0.083000,0.190200,0.254100,0.293600,0.423500,0.228800,0.137300,0.525400,0.260400,0.212800,0.484100,0.641700,0.690500,0.481500,0.219300,0.364000,1.569800,0.311600,0.036100,0.189700,0.372700,0.451200,0.677000,0.238500,0.532700,0.513500,0.177900,0.010300,0.112300,0.255000,0.315300,0.748400,0.466400,1.280500,0.144200,0.364800,0.744100,0.772500,0.796200,0.818100,0.172600,0.286400,0.631200,0.476100,0.181800,0.409100,0.550700,0.565800,0.574200,0.249900,0.272400,0.828400,1.195900,0.170000,0.291200,0.328200,0.336300,0.357300,0.218900,0.265000,1.219800,0.467000,0.032900,0.631900,0.652800,0.686500,0.725000,0.173100,0.374000,NaN,NaN,NaN,0.483100,0.665300,0.724300,0.743900,0.280800,0.292100,0.121700,NaN,NaN
